date,state,coronavirus,mask,sanitizer,toilet paper,positive,positiveIncrease,negative,negativeIncrease,pending,total,totalTestResultsIncrease,recovered,death,deathIncrease,hospitalizedCumulative,hospitalizedIncrease,total_hospital_beds,available_hospital_beds,hospital_bed_occupancy_rate,total_icu_beds,available_icu_beds,icu_bed_occupancy_rate,adult_population,population_65,home
2020-02-06,MD,1457,292,22,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-07,MD,1652,284,20,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-08,MD,1535,305,20,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-09,MD,1349,300,19,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-10,MD,1419,259,22,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-11,MD,1387,260,18,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-12,MD,1566,321,22,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-13,MD,1720,358,23,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-14,MD,1350,326,18,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-15,MD,1225,335,20,28,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-16,MD,1223,336,21,31,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-17,MD,1454,343,18,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-18,MD,1405,311,18,26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-19,MD,1013,247,18,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-20,MD,886,246,13,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-21,MD,900,242,18,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-22,MD,1063,296,19,18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-23,MD,1288,298,19,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-24,MD,849,172,7,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-25,MD,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-02-26,MD,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-11,MD,0,0,0,0,9,3.0,94,5.0,0.0,103.0,8.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-12,MD,0,0,0,0,12,3.0,94,0.0,0.0,106.0,3.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-13,MD,0,0,0,0,17,5.0,94,0.0,0.0,111.0,5.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-14,MD,0,0,0,0,26,9.0,94,0.0,0.0,120.0,9.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-15,MD,0,0,0,0,31,5.0,94,0.0,0.0,125.0,5.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-16,MD,0,0,0,0,37,6.0,94,0.0,0.0,131.0,6.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-17,MD,722,17,18,17,57,20.0,94,0.0,0.0,151.0,20.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-18,MD,1894,53,47,44,85,28.0,94,0.0,0.0,179.0,28.0,0.0,0.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-19,MD,1785,60,47,41,107,22.0,94,0.0,0.0,201.0,22.0,0.0,1.0,1.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-20,MD,1727,71,45,44,149,42.0,94,0.0,0.0,243.0,42.0,0.0,1.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-21,MD,1687,90,43,49,190,41.0,94,0.0,0.0,284.0,41.0,0.0,2.0,1.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-22,MD,1738,90,41,50,244,54.0,94,0.0,0.0,338.0,54.0,0.0,3.0,1.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-23,MD,1669,82,36,41,288,44.0,94,0.0,0.0,382.0,44.0,0.0,3.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-24,MD,1432,77,27,33,349,61.0,94,0.0,0.0,443.0,61.0,0.0,3.0,0.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-03-25,MD,58,3,1,1,423,74.0,94,0.0,0.0,517.0,74.0,0.0,4.0,1.0,0.0,0.0,11249,3296,0.71,1227,422,0.66,4648466,849185,0
2020-04-01,MD,0,0,0,0,1985,325.0,17233,2365.0,0.0,19218.0,2690.0,0.0,31.0,13.0,522.0,93.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-02,MD,134,10,1,100,2331,346.0,18890,1657.0,0.0,21221.0,2003.0,81.0,36.0,5.0,582.0,60.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-03,MD,90,20,0,0,2758,427.0,20932,2042.0,0.0,23690.0,2469.0,159.0,42.0,6.0,664.0,82.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-04,MD,93,25,0,0,3125,367.0,22485,1553.0,0.0,25610.0,1920.0,159.0,53.0,11.0,821.0,157.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-05,MD,93,19,0,0,3609,484.0,24728,2243.0,0.0,28337.0,2727.0,159.0,67.0,14.0,936.0,115.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-06,MD,91,18,0,0,4045,436.0,25572,844.0,0.0,29617.0,1280.0,184.0,91.0,24.0,1059.0,123.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-07,MD,84,7,0,0,4371,326.0,27256,1684.0,0.0,31627.0,2010.0,288.0,103.0,12.0,1106.0,47.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-08,MD,1922,240,36,34,5529,1158.0,32933,5677.0,0.0,38462.0,6835.0,365.0,124.0,21.0,1210.0,104.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-09,MD,1876,236,39,31,6185,656.0,35344,2411.0,0.0,41529.0,3067.0,376.0,138.0,14.0,1348.0,138.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-10,MD,1744,268,36,26,6968,783.0,37480,2136.0,0.0,44448.0,2919.0,397.0,171.0,33.0,1413.0,65.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-11,MD,1289,256,36,30,7694,726.0,39544,2064.0,0.0,47238.0,2790.0,431.0,206.0,35.0,1709.0,296.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-04-12,MD,1128,211,24,24,8225,531.0,41539,1995.0,0.0,49764.0,2526.0,456.0,235.0,29.0,1860.0,151.0,11249,3296,0.71,1227,422,0.66,4648466,849185,1
2020-01-01,ME,0,488,26,85,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-02,ME,2,732,28,92,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-03,ME,1,746,25,78,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-04,ME,11,940,30,114,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-05,ME,0,884,35,106,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-06,ME,1,814,40,62,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-07,ME,1,863,72,79,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-08,ME,7,1033,29,159,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-09,ME,15,1029,50,133,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-10,ME,17,928,37,136,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-11,ME,105,853,31,127,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-12,ME,14,943,40,119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-13,ME,4,936,40,149,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-14,ME,36,751,47,75,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-15,ME,3,277,9,37,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-16,ME,24,237,13,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-17,ME,24,277,16,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-18,ME,82,250,17,33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-19,ME,36,254,7,41,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-20,ME,205,251,11,27,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-21,ME,683,260,6,42,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-22,ME,367,106,4,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-23,ME,405,87,0,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-24,ME,701,95,3,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-25,ME,952,109,1,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-26,ME,1129,129,6,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-27,ME,1259,140,2,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-28,ME,1754,138,7,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-29,ME,1708,140,12,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-30,ME,1438,134,13,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-01-31,ME,1375,130,13,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-01,ME,1214,141,6,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-02,ME,1250,140,8,16,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-03,ME,1018,137,5,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-04,ME,828,124,6,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-05,ME,911,130,7,18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-06,ME,803,136,12,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-07,ME,980,120,7,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-08,ME,909,131,9,14,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-09,ME,857,140,6,12,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-10,ME,925,134,15,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-11,ME,1408,138,11,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-12,ME,1488,194,16,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-13,ME,1443,207,22,23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-14,ME,1192,200,11,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-15,ME,995,180,11,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-16,ME,920,200,9,23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-17,ME,959,198,12,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-18,ME,873,193,12,23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-19,ME,689,163,8,16,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-20,ME,583,170,9,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-21,ME,601,153,19,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-22,ME,804,172,10,18,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-23,ME,903,200,7,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-24,ME,686,104,0,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-25,ME,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-02-26,ME,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-11,ME,0,0,0,0,0,0.0,42,22.0,5.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-12,ME,0,0,0,0,1,1.0,65,23.0,20.0,86.0,24.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-13,ME,0,0,0,0,3,2.0,91,26.0,17.0,111.0,28.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-14,ME,0,0,0,0,3,0.0,91,0.0,17.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-15,ME,0,0,0,0,3,0.0,91,0.0,17.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-16,ME,0,0,0,0,17,14.0,764,673.0,0.0,781.0,687.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-17,ME,744,15,16,27,32,15.0,1303,539.0,0.0,1335.0,554.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-18,ME,1846,37,41,61,43,11.0,1670,367.0,0.0,1713.0,378.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-19,ME,1621,46,34,49,53,10.0,2004,334.0,0.0,2057.0,344.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-20,ME,1482,64,31,47,57,4.0,2264,260.0,0.0,2321.0,264.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
2020-03-21,ME,1487,83,34,48,73,16.0,2264,0.0,0.0,2337.0,16.0,0.0,0.0,0.0,0.0,0.0,3310,980,0.7,288,107,0.63,1073331,250131,0
